idstd;id;panel;a4a;a6a;a4b;a6c;a6b;a1;country;lcu;a7a;a20y;b1;b3;b2a;b2b;b2c;b2d;b4;b4a;bmb1;bmb2;bmb3;bmb4;b5;b6;b6b;b7;b7a;d1a1a;d1a1x;d1a3;d2;n3;bmd1a;bmd1b;d3a;d3b;d3c;bmr2;bmr3;bmr4;bmr5;bmr6;bmr7;bmr8;e1;e2b;h1;h2;h5;bmh1;bmh2;bmh3;h8;h9;bmt3;k4;n5a;n5b;bmk6;k4b;n5c;n5d;k21;j6a;l1;l2;l4a1;l4a2;l4b;l5a;l5b;l5;l6;l6a;l8;l9b;l9b1;bml1a;bml1b;l10;bml2;l11a;l11a1;l11b;n2a;n2e;n2b;n2f;n2i;n2p;n2e1;n7a;bmge1;bmge2;d1a2;stratificationsizecode;stratificationsectorcode;Cyprus;Estonia;Greece;Italy;Latvia;Lithuania;Malta;Portugal;Slovak_rep;Slovenia;firm_age;manager_experience;top_manager_female;firm_size;sales;exportsDV;manufacturing;retail;other_services;food;garments;metal_products;machinery;other_manufacturing;R_D;product_innovation;fixed_asset;ln_sales;female_owners;family_firms
654018;2085;Fresh;Retail;Medium;Retail;23;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;60;100;0;0;0;Yes;20;100;100;Yes;Yes;1992;6;1992;27;No;Retail trade of;Retailing Of Packaging And Disposable Products;100;2859032;2228165;Stay the same;;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with some effort;Most managers and some production workers;Yes;National Ð main product sold mostly across the country where establishment is located;3;No;;No;No;No;No;;;;No;;;No;;;;Yes;No;22;14;;;;;;4;No full-time seasonal or temporary workers;;;100;;;No one has a university degree;No;;;;;473552;;4658;14416;2043208;;;;Don't know (spontaneous);Don't know (spontaneous);5239;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;29;27;0;22;2859032;0;0;1;0;0;0;0;0;0;0;0;2;15;1;1
654019;2099;Fresh;Retail;Medium;Retail;20;Medium;Malta;Malta;Euro (EUR);;2018;Sole proprietorship;100;100;0;0;0;No;;100;100;Yes;Yes;1982;2;1982;32;No;Retail trade of;Retailing Of Interior Decorations And Blinds;100;1300000;1100000;Stay the same;;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with normal amount of effort;All managers and most production workers;No;National Ð main product sold mostly across the country where establishment is located;8;No;;No;No;No;No;;;;Yes;0;20000;No;;;;Yes;Yes;24;21;;;;;;3;1;0;3;;24;;1;No;;;;;269568;;19000;22000;530000;;;;Don't know (spontaneous);Don't know (spontaneous);5233;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;39;32;0;24;1300000;0;0;1;0;0;0;0;0;0;0;0;1;14;0;1
654020;2103;Fresh;Retail;Medium;Transport  Section I: (60-64);15;Small;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;Yes;25;100;100;Yes;Yes;1966;3;1966;25;Yes;Provide services of;Global Container Shipping By Road, Rail, And Sea;100;4697782;6753811;Stay the same;;0;0;100;;;;;;;;International;10;No;;No;No;No;No;;;;Yes;18000;0;No;;;;Yes;No;10;10;;;;;;3;No full-time seasonal or temporary workers;;;100;;;1;Yes;Job-specific technical skills;;;;397533;;9000;3000;;;;;Don't know (spontaneous);0;6303;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;55;25;1;10;4697782;1;0;1;0;0;0;0;0;0;0;0;1;15;1;1
654021;2124;Fresh;Retail;Medium;Hotel and restaurants: section H;25;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;No;;50;50;Yes;Yes;1993;2;1993;30;No;Hotel or restaurant;Renting Of Villas And Apartments;100;1800000;990000;Increase;8;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Most managers and some production workers;Yes;National Ð main product sold mostly across the country where establishment is located;4;No;;No;No;No;No;;;;Yes;30000;0;No;;;;Yes;No;25;20;;;;;;10;2;0;4;100;;;2;Yes;Job-specific technical skills;;;;370000;;43000;3280;;;;;Don't know (spontaneous);Don't know (spontaneous);5510;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;28;30;0;25;1800000;0;0;1;0;0;0;0;0;0;0;0;1;14;0;0
654022;2125;Fresh;Retail;Medium;Wholesale;15;Small;Malta;Malta;Euro (EUR);;2018;Limited partnership;100;100;0;0;0;No;;100;100;Don't know (spontaneous);No;1904;2;1960;61;No;Wholesale trade of;Wholesale Of Spirits And Confectionery;40;2500000;2500000;Stay the same;;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Too many to count;Yes;Yes;No;No;No;No;;;;Yes;8000;0;No;;;;Yes;No;15;15;;;;;;4;No full-time seasonal or temporary workers;;;100;;;1;No;;;;;300000;;5000;18000;;;;;Don't know (spontaneous);Don't know (spontaneous);5122;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;117;61;0;15;2500000;0;0;1;0;0;0;0;0;0;0;1;1;15;0;1
654023;2133;Fresh;Retail;Medium;Hotel and restaurants: section H;60;Medium;Malta;Malta;Euro (EUR);6;2018;Shareholding company with non-traded shares or shares traded privately;100;100;0;0;0;No;;0;;Don't know (spontaneous);Yes;1999;Don't know (spontaneous);1999;15;No;Hotel or restaurant;Hotel;93;6673463;6469858;Stay the same;;0;0;100;Yes;3-9 indicators;Don't know (spontaneous);;;;Yes;International;Too many to count;No;;No;Yes;No;Yes;Yes;Don't know (spontaneous);Don't know (spontaneous);Yes;47258;0;No;;;;No;No;28;25;;;;;;13;No full-time seasonal or temporary workers;;;80;;Don't know (spontaneous);;No;;;;;1424791;;278296;70752;;;;;Don't know (spontaneous);114000;5510;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;22;15;0;28;6673463;1;0;1;0;0;0;0;0;0;1;0;1;16;0;0
654024;2150;Fresh;Retail;Medium;Retail;60;Medium;Malta;Malta;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;No;;100;100;No;No;1987;Don't know (spontaneous);1987;18;No;Retail trade of;Retail Of Textiles;100;4400000;4300000;Stay the same;;100;0;0;No;;No;;;;No;National Ð main product sold mostly across the country where establishment is located;3;Yes;Yes;No;No;No;No;;;Daily;Yes;15000;0;No;;;;Yes;No;38;32;;;;;;9;No full-time seasonal or temporary workers;;;100;;;1;No;;;;;1100000;;25000;34000;2500000;;;;Don't know (spontaneous);Don't know (spontaneous);5232;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;34;18;0;38;4400000;0;0;1;0;0;0;0;0;0;0;1;1;15;0;1
654025;2165;Fresh;Retail;Medium;Retail;40;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;100;100;0;0;0;Yes;1;100;100;Yes;Yes;2013;25;2013;40;No;Retail trade of;Retail Of Shoes And Accessories;95;4500000;4000000;Increase;10;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Only senior managers;No;Local Ð main product sold mostly in same municipality where establishment is located;10;Yes;No;No;No;No;No;;;;Yes;100000;20000;No;;;;Yes;No;12;8;;;;;;4;No full-time seasonal or temporary workers;;;30;;No one has a university degree;;Yes;Interpersonal and communication skills;;;;350000;;20000;2000;2500000;;;;Don't know (spontaneous);Don't know (spontaneous);5232;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;8;40;0;12;4500000;0;0;1;0;0;0;0;0;0;0;1;1;15;1;1
654026;2167;Fresh;Retail;Medium;Transport  Section I: (60-64);30;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;25;100;0;0;0;Yes;50;100;80;Yes;Yes;1974;Don't know (spontaneous);1974;40;No;Provide services of;Provide Transport Logistics Services;80;1.80e+07;1.60e+07;Increase;20;70;30;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with normal amount of effort;All managers and most production workers;Yes;National Ð main product sold mostly across the country where establishment is located;40;No;;No;No;Yes;Yes;Yes;80000;;Yes;15000;0;No;;;;Yes;No;28;27;;;;;;14;5;3;12;100;;20;;Yes;Job-specific technical skills;;;;720000;;30000;12000;;;;;Don't know (spontaneous);Don't know (spontaneous);6303;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;47;40;0;28;18000000;1;0;1;0;0;0;0;0;0;1;0;1;17;1;1
654027;2185;Fresh;Retail;Medium;Construction Section F: ;40;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;60;100;0;0;0;Yes;35;100;90;No;Yes;1984;Don't know (spontaneous);1984;35;No;Construction of;Electrical And Mechanical Installation;100;2900000;Don't know (spontaneous);Increase;10;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Only achieved with extraordinary effort;Only senior managers;No;National Ð main product sold mostly across the country where establishment is located;Too many to count;No;;No;No;No;No;;;;Yes;82000;60000;No;;;;No;Yes;40;36;;;;;;3;4;1;Don't know (spontaneous);;35;;10;No;;;;;955000;;13000;50000;;;;;Don't know (spontaneous);Don't know (spontaneous);4530;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;37;35;0;40;2900000;0;0;1;0;0;0;0;0;0;0;0;1;15;1;1
654028;2203;Fresh;Retail;Medium;Retail;6;Small;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;35;100;0;0;0;Yes;80;100;100;Yes;Yes;1943;3;1943;20;Yes;Retail trade of;Retailing Of Stationery And Gifts;100;447000;546000;Decrease;20;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;5;No;;No;No;No;No;;;;No;;;No;;;;Yes;Yes;6;9;;;;;;4;No full-time seasonal or temporary workers;;;100;;;No one has a university degree;No;;;;;125258;;3606;2000;170000;;;;Don't know (spontaneous);0;5219;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;78;20;1;6;447000;0;0;1;0;0;0;0;0;0;0;0;2;13;1;1
654029;2211;Fresh;Retail;Medium;Retail;8;Small;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;100;100;0;0;0;No;;100;100;Yes;Yes;1979;1;1979;45;No;Retail trade of;Retail Of Soft Furnishing And Fabrics And Curtains;100;276832;344371;Decrease;10;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;4;No;;No;No;No;No;;;;No;;;No;;;;Yes;No;9;11;;;;;;5;No full-time seasonal or temporary workers;;;100;;;1;No;;;;;136564;;3142;1034;121982;;;;Don't know (spontaneous);795;5233;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;42;45;0;9;276832;0;0;1;0;0;0;0;0;0;0;0;2;13;0;1
654030;2244;Fresh;Retail;Medium;Wholesale;12;Small;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;No;;100;100;No;No;1930;1;1987;43;No;Wholesale trade of;Wholesale Of Hair Products;100;Don't know (spontaneous);Don't know (spontaneous);Increase;5;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Too many to count;No;;No;No;No;No;;;;Yes;0;50000;No;;;;Yes;No;12;12;;;;;;7;1;1;12;100;;No one has a university degree;;Yes;Job-specific technical skills;;;;112000;;Don't know (spontaneous);Don't know (spontaneous);;;;;Don't know (spontaneous);Don't know (spontaneous);5190;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;91;43;0;12;;0;0;1;0;0;0;0;0;0;0;0;1;;0;1
654031;2252;Fresh;Retail;Medium;Transport  Section I: (60-64);11;Small;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;No;;50;0;No;Yes;2015;10;2015;10;No;Provide services of;Oil Bunkering: Storage Of Oil For Fuelling Ships;100;1.42e+08;0;Increase;20;1;0;99;;;;;;;;International;5;No;;No;No;No;No;;;;Yes;42000;0;No;;;;No;No;11;10;;;;;;2;No full-time seasonal or temporary workers;;;100;;;2;No;;;;;360000;;2700;15500;;;;;Don't know (spontaneous);13000;6302;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;6;10;0;11;142000000;1;0;1;0;0;0;0;0;0;0;0;1;19;0;0
654032;2253;Fresh;Retail;Medium;Transport  Section I: (60-64);14;Small;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;99;100;0;0;0;No;;0;;No;No;1979;Don't know (spontaneous);1979;50;No;Provide services of;Provide Tours Ot The Island;100;861612;524173;Decrease;20;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;4;No;;No;No;No;No;;;;No;;;No;;;;Yes;Don't know (spontaneous);19;19;;;;;;13;No full-time seasonal or temporary workers;;;100;;Don't know (spontaneous);;No;;;;;382346;;10000;4000;;;;;Don't know (spontaneous);Don't know (spontaneous);6304;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;42;50;0;19;861612;0;0;1;0;0;0;0;0;0;0;0;2;14;0;0
654033;2277;Fresh;Retail;Medium;Construction Section F: ;11;Small;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;Yes;50;100;100;Yes;Yes;1988;15;1992;35;No;Construction of;Building Construction;100;301600;276000;Increase;100;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Too many to count;No;;No;No;No;No;;;;Yes;50000;0;No;;;;Yes;Yes;11;10;;;;;;0;No full-time seasonal or temporary workers;;;Don't know (spontaneous);;;No one has a university degree;No;;;;;79000;;2100;20000;;;;;5000;14500;4520;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;33;35;0;11;301600;0;0;1;0;0;0;0;0;0;0;0;1;13;1;1
654034;2280;Fresh;Retail;Medium;Retail;65;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;Yes;50;100;100;Yes;Yes;1978;1;1978;30;Yes;Retail trade of;Retail Of Clothing;100;1.03e+07;8797892;Increase;10;96;0;4;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;All managers and most production workers;Yes;National Ð main product sold mostly across the country where establishment is located;8;No;;No;No;No;No;;;Once a week;No;;;Yes;;;;Yes;No;48;43;;;;;;30;No full-time seasonal or temporary workers;;;100;;;2;Yes;Job-specific technical skills;;;;1602363;;54300;0;6586000;;;;Don't know (spontaneous);0;5232;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;43;30;1;48;10266295;1;0;1;0;0;0;0;0;0;0;0;2;16;1;1
654035;2289;Fresh;Retail;Medium;Wholesale;31;Medium;Malta;Malta;Euro (EUR);2;2018;Shareholding company with non-traded shares or shares traded privately;21;49;0;51;0;No;;0;;No;Yes;1982;15;1982;43;No;Wholesale trade of;National Sales Of Cement;80;2.25e+07;2.00e+07;Increase;15;100;0;0;Yes;3-9 indicators;Yes;Main focus was on short-term, less than one year;Achieved with some effort;Most managers and some production workers;No;National Ð main product sold mostly across the country where establishment is located;2;Yes;Yes;Yes;No;Yes;No;No;;;Yes;150000;80000;No;;;;Yes;No;26;26;;;;;;5;1;0;2;;13;;2;Yes;Other;;;;756000;;14200;120000;;;;;Don't know (spontaneous);123000;5143;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;39;43;0;26;22500000;0;0;1;0;0;0;0;0;0;1;1;1;17;0;0
654036;2313;Fresh;Retail;Medium;Wholesale;20;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;45;100;0;0;0;Yes;37;45;40;Yes;Yes;1988;1;1988;40;No;Wholesale trade of;Wholesale Of Medical Equipment;100;5000000;6000000;Increase;5;100;0;0;Yes;10 or more indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Most managers and some production workers;Yes;National Ð main product sold mostly across the country where establishment is located;10;Yes;Yes;No;No;No;No;;;;No;;;No;;;;Yes;Yes;19;19;;;;;;8;1;0;5;95;;;2;Yes;Job-specific technical skills;;;;500000;;3000;12000;;;;;Don't know (spontaneous);Don't know (spontaneous);5159;Medium (20-99);2;0;0;0;0;0;0;1;0;0;0;33;40;0;19;5000000;0;0;1;0;0;0;0;0;0;0;1;2;15;1;0
654037;2319;Fresh;Retail;Large;Retail;120;Large;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;80;80;20;0;0;Yes;15;80;80;Yes;Yes;2010;65;2009;35;No;Retail trade of;Retail Of Furniture, Appliances, Giftware;100;1.40e+07;1.30e+07;Stay the same;;100;0;0;Yes;10 or more indicators;Yes;Main focus was on short-term, less than one year;Achieved with normal amount of effort;Most managers and some production workers;Yes;Local Ð main product sold mostly in same municipality where establishment is located;20;Yes;Yes;Yes;Yes;No;No;;;Never;Yes;100000;0;No;;;;Yes;Yes;85;70;;;;;;42;No full-time seasonal or temporary workers;;;100;;20;;Yes;Job-specific technical skills;;;;3000000;;140000;10000;3000000;;;;720;0;5233;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;11;35;0;85;14000000;0;0;1;0;0;0;0;0;0;0;1;1;16;1;1
654038;2323;Fresh;Retail;Large;Services of motor vehicles;100;Large;Malta;Malta;Euro (EUR);4;2018;Shareholding company with non-traded shares or shares traded privately;52;100;0;0;0;Yes;25;52;0;Yes;Yes;2012;80;2012;10;No;Provide services of;Sale Of Motor Vehicles;63;4.30e+07;4.20e+07;Increase;3;80;20;0;Yes;10 or more indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Most managers and some production workers;Yes;National Ð main product sold mostly across the country where establishment is located;7;Yes;Yes;No;No;No;No;;;Between 2 and 4 times a week;Yes;265000;3000;Yes;;;;Yes;Yes;100;95;;;;;;15;No full-time seasonal or temporary workers;;;10;;;5;Yes;Job-specific technical skills;;;;2308929;;118655;38000;;;;;Don't know (spontaneous);35000;5010;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;9;10;0;100;43000000;1;0;1;0;0;0;0;0;0;0;1;1;18;1;1
654039;2339;Fresh;Retail;Large;IT;70;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;70;100;0;0;0;Yes;70;100;0;Yes;Yes;1990;3;1990;20;No;Provide services of;Online Advertising Services And Marketing Consultancy;100;3300000;4200000;Stay the same;;100;0;0;Yes;10 or more indicators;Yes;Combination of short-term and long-term targets;Only achieved with extraordinary effort;Most managers and some production workers;Yes;National Ð main product sold mostly across the country where establishment is located;Too many to count;Yes;Yes;No;Yes;No;No;;;Daily;Yes;117000;0;Yes;;;;Yes;No;50;53;;;;;;30;4;3;2;100;;;6;Yes;Job-specific technical skills;;;;1902000;;7200;29900;;;;;Don't know (spontaneous);Don't know (spontaneous);7240;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;31;20;0;50;3300000;0;0;1;0;0;0;0;0;0;0;1;1;15;1;1
654040;2349;Fresh;Retail;Large;Wholesale;78;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with shares traded on the stock market;58;100;0;0;0;No;;0;;No;Yes;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);40;No;Wholesale trade of;Wholesale Of Food Products;100;2.10e+07;1.88e+07;Increase;5;100;0;0;No;;No;;;;Yes;Local Ð main product sold mostly in same municipality where establishment is located;10;Yes;No;No;No;No;No;;;Daily;No;;;No;;;;Yes;No;78;60;;;;;;50;No full-time seasonal or temporary workers;;;100;;;4;No;;;;;2000000;;10000;44000;;;;;Don't know (spontaneous);Don't know (spontaneous);5122;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;;40;0;78;21000000;0;0;1;0;0;0;0;0;0;0;1;2;17;0;0
654041;2360;Fresh;Retail;Large;Retail;2360;Large;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;No;;100;100;Yes;No;2013;3;2013;15;No;Retail trade of;Retail Of Food Products And Beverages;100;6000000;9000000;Stay the same;;0;0;100;No;;Yes;Combination of short-term and long-term targets;Achieved with normal amount of effort;Only senior managers;No;International;Don't know (spontaneous);No;;No;No;No;No;;;Daily;No;;;No;;;;Yes;No;5;5;;;;;;2;No full-time seasonal or temporary workers;;;;5;;No one has a university degree;No;;;;;70000;;1000;0;4000000;;;;Don't know (spontaneous);Don't know (spontaneous);5220;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;8;15;0;5;6000000;1;0;1;0;0;0;0;0;0;0;0;2;16;0;1
654042;2366;Fresh;Retail;Large;Wholesale;160;Large;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;25;100;0;0;0;Yes;25;100;43;No;Yes;1991;3;1991;22;No;Wholesale trade of;Wholesale Of Food And Beverages;100;2.30e+07;1.70e+07;Increase;5;100;0;0;Yes;10 or more indicators;Yes;Combination of short-term and long-term targets;Achieved with normal amount of effort;Most managers and some production workers;No;National Ð main product sold mostly across the country where establishment is located;10;Yes;No;No;No;No;No;;;Between 2 and 4 times a week;Yes;700000;0;No;;;;Yes;No;150;150;;;;;;Don't know (spontaneous);20;0;3;;150;;4;Yes;Job-specific technical skills;;;;3400000;;128000;148000;;;;;Don't know (spontaneous);Don't know (spontaneous);5122;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;30;22;0;150;23000000;0;0;1;0;0;0;0;0;0;0;1;1;17;1;1
654043;2367;Fresh;Retail;Large;Retail;51;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;33;100;0;0;0;Yes;20;100;100;Yes;Yes;1977;20;1977;50;No;Retail trade of;Retailing Of Food Products;90;6954302;6034249;Stay the same;;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Most managers and most production workers;Yes;National Ð main product sold mostly across the country where establishment is located;5;No;;No;No;No;No;;;Once a week;Yes;16000;0;No;;;;Yes;No;60;51;;;;;;11;No full-time seasonal or temporary workers;;;100;;;No one has a university degree;No;;;;;1058660;;37334;42930;5300893;;;;Don't know (spontaneous);0;5220;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;44;50;0;60;6954302;0;0;1;0;0;0;0;0;0;0;0;1;16;1;1
654044;2369;Fresh;Retail;Large;Wholesale;23;Medium;Malta;Malta;Euro (EUR);7;2018;Shareholding company with non-traded shares or shares traded privately;30;100;0;0;0;No;;70;0;Yes;Yes;2010;21;2010;21;No;Wholesale trade of;Wholesale Of Medical And Scientific Equipment;80;5000000;3000000;Increase;50;100;0;0;Yes;3-9 indicators;Yes;Main focus was on short-term, less than one year;Achieved with more than normal effort;All managers and most production workers;Yes;National Ð main product sold mostly across the country where establishment is located;5;Yes;Yes;Yes;No;No;No;;;;Yes;120000;0;No;;;;Yes;Yes;20;11;;;;;;6;2;1;4;100;;50;;Yes;Interpersonal and communication skills;;;;450000;;13000;10000;;;;;50000;0;5159;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;11;21;0;20;5000000;0;0;1;0;0;0;0;0;0;0;1;1;15;0;1
654045;2371;Fresh;Retail;Large;Retail;60;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;Yes;85;100;100;Yes;Yes;1881;1;1956;30;No;Retail trade of;Retailing Of Wines, Spirits And Tobacco;100;2.03e+07;1.84e+07;Decrease;4;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Only senior managers;Yes;National Ð main product sold mostly across the country where establishment is located;5;No;;No;No;No;No;;;Daily;No;;;No;;;;Yes;No;50;50;;;;;;10;30;15;3;100;;;3;No;;;;;1900000;;24000;96000;1.72e+07;;;;Don't know (spontaneous);Don't know (spontaneous);5220;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;140;30;0;50;20300000;0;0;1;0;0;0;0;0;0;0;0;2;17;1;1
654046;2377;Fresh;Retail;Large;Services of motor vehicles;180;Large;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;50;50;0;0;No;;100;20;Yes;Yes;1960;3;1960;20;No;Provide services of;Retail Of Motor Vehicles;100;3.00e+07;2.30e+07;Increase;10;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Most managers and most production workers;Yes;National Ð main product sold mostly across the country where establishment is located;30;Yes;Yes;No;No;No;No;;;Daily;No;;;No;;;;No;No;180;150;;;;;;50;No full-time seasonal or temporary workers;;;70;;10;;Yes;Managerial and leadership skills;;;;2000000;;100000;5000;;;;;40000;Don't know (spontaneous);5010;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;61;20;0;180;30000000;0;0;1;0;0;0;0;0;0;0;1;2;17;0;1
654047;2378;Fresh;Retail;Large;IT;35;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;No;;100;0;No;Yes;1980;2;1980;30;No;Provide services of;It Solutions Including Software, Networking, Hardware And Services;40;3000000;2500000;Increase;16;98;0;2;No;;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Most managers and most production workers;No;Local Ð main product sold mostly in same municipality where establishment is located;6;Yes;Yes;No;No;Yes;No;Yes;30000;;No;;;No;;;;Yes;Yes;31;40;;;;;;10;No full-time seasonal or temporary workers;;;100;;95;;No;;;;;1000000;;3600;0;;;;;Don't know (spontaneous);Don't know (spontaneous);7221;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;41;30;0;31;3000000;1;0;1;0;0;0;0;0;0;1;1;2;15;0;1
654048;2392;Fresh;Retail;Large;Retail;85;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;25;100;0;0;0;Yes;60;100;0;Yes;Yes;2008;50;2007;10;No;Retail trade of;Retail Of Fashion And Cosmetic Products;100;7500000;6900000;Stay the same;;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Most managers and most production workers;Yes;National Ð main product sold mostly across the country where establishment is located;12;Yes;No;No;No;Yes;Yes;Yes;25000;Once a week;Yes;85000;0;No;;;;Yes;No;50;55;;;;;;35;30;25;12;90;;5;;Yes;Job-specific technical skills;;;;1100000;;80000;6000;3500000;;;;Don't know (spontaneous);Don't know (spontaneous);5232;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;13;10;0;50;7500000;0;0;1;0;0;0;0;0;0;1;1;1;16;1;1
654049;2413;Fresh;Retail;Large;Retail;45;Medium;Malta;Malta;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;36;100;0;0;0;Yes;27;100;100;Yes;Yes;1962;2;1962;36;No;Retail trade of;Retailing Of Industrial Catering Equipment;95;3805831;2497619;Increase;7;100;0;0;Yes;3-9 indicators;Yes;Combination of short-term and long-term targets;Achieved with some effort;Only senior managers;No;National Ð main product sold mostly across the country where establishment is located;4;No;;No;No;No;No;;;;No;;;No;;;;Yes;Yes;43;43;;;;;;10;No full-time seasonal or temporary workers;;;100;;;2;No;;;;;845820;;14000;12000;2000000;;;;Don't know (spontaneous);Don't know (spontaneous);5239;Large (100 or more);2;0;0;0;0;0;0;1;0;0;0;59;36;0;43;3805831;0;0;1;0;0;0;0;0;0;0;0;2;15;1;1
